id,title_fa,Rate,Rate_cnt,Category1,Category2,Brand,Price,Seller,Is_Fake,min_price_last_month,sub_category,titleVector
3070933,کتاب من هلن کلر هستم اثر برد ملتسر انتشارات پرتقال,94,30,کتاب کودک و نوجوان,None,انتشارات پرتقال,435300,کتاب سالم,False,0,book & stationary & art,"[-0.01153488 -0.01232205 -0.02118566 ...  0.00089399 -0.0740996
  0.02688871]"
10652273,قمقمه مدل 6805 گنجایش 0.80 لیتر,80,1,ورزش های هوازی و تناسب اندام,تجهیزات و لوازم بدنسازی و هوازی,متفرقه,5620000,پروا کالا,False,0,travel,"[ 0.01860756 -0.00663262 -0.00612711 ... -0.00396343 -0.06629562
  0.00516212]"
4657150,تابلو فرش ماشینی نقش نگار رضوی طرح آیة الکرسی کد 1973KH,90,2,تابلو فرش,None,نقش نگار رضوی,6790000,گالری ضامن,False,0,book & stationary & art,"[ 0.01546846  0.01679333 -0.03949285 ...  0.01411808 -0.03701191
 -0.01229113]"
3028900,جاکارتی مردانه طرح اسب,0,0,اکسسوری مردانه,کیف پول مردانه,متفرقه,1330000,میم کاور,False,0,clothe,"[ 0.02195479 -0.02851974 -0.02947788 ... -0.00151498 -0.04296964
 -0.00717132]"
7889230,تی شرت ورزشی پسرانه مدل FR,0,0,پسرانه,لباس پسرانه,متفرقه,2450000,روپا,False,0,clothe,"[ 0.01836753 -0.00785965 -0.02509691 ...  0.0130082  -0.03224719
  0.00152696]"
8093866,کتاب The Queen Gambit اثر Walter Tevis نشر Vintage,0,0,کتاب چاپی غیر فارسی,None,متفرقه,1200000,بوکم,False,800000,book & stationary & art,"[ 0.02722594 -0.00883067 -0.03460464 ... -0.00919852 -0.03217585
 -0.01345836]"
4148353, پازل 35 تکه طرح انیمه کیتی مدل NI1535 ,0,0,اسباب بازی,فکری و آموزشی,متفرقه,700000,نیلان,False,0,toys and kids,"[ 0.03607331 -0.0035408   0.00233227 ... -0.01106981 -0.03862283
 -0.00043673]"
8108586,کتاب 4000 Essential English Words اثر Paul Nation انتشارات شیلر 3 جلدی,80,1,کتاب چاپی غیر فارسی,None,انتشارات شیلر,2500000,انتشارات الوندپویان,False,0,book & stationary & art,"[ 0.0234737  -0.02684982 -0.01090552 ...  0.00988436 -0.0504011
 -0.02067407]"
1057024,گردنبند نقره طرح ورزشی مدل sn4,90,2,اکسسوری زنانه,زیورآلات نقره زنانه,متفرقه,2400000,مجیک گلد,False,0,clothe,"[ 0.01928269 -0.00212086 -0.03058422 ... -0.00412976 -0.02480665
 -0.01228321]"
10813303,برگه آلو شابلون خشک خورشتی ملس - 250 گرم,100,1,مواد غذایی,خشکبار و آجیل سنتی,متفرقه,880000,محصولات محلی ملکان,False,0,rural goods,"[ 0.01686644  0.00102787 -0.03712317 ... -0.00259286 -0.06309863
  0.02205869]"
11918392,جوراب ساق کوتاه زنانه دون دزا مدل پنبه کشی طرح تدی کد BLSU414 بسته 2 عددی,0,0,لباس زنانه,جوراب و ساق زنانه,متفرقه,911400,مام استور,False,0,clothe,"[ 0.00391376  0.02895033 -0.01665937 ... -0.01118307 -0.07713225
 -0.01011722]"
3042236,مجله Oil Painting in Public Ownership ژانويه 2020,90,1,مجلات,مجلات خارجی,متفرقه,7500000, بوک لند,False,0,book & stationary & art,"[-0.01247543 -0.01484425 -0.03453564 ...  0.01307509 -0.04032683
  0.00589159]"
11080001,دستکش بدنسازی مدل کراسفیت NICR-2020,80,1,اکسسوری زنانه و مردانه,اکسسوری ورزشی زنانه و مردانه,متفرقه,2000000,آیریا اسپرت,True,0,clothe,"[ 0.01770078 -0.02233442 -0.04451772 ... -0.00095527 -0.04421806
 -0.02296609]"
4958548, استون ویهان مدل Two-Phase حجم 80 میلی لیتر مجموعه 24 عددی,90,2,بهداشت و زیبایی ناخن,لاک پاک کن,ویهان-PC,6626200,کینگ وایت,False,0,beauty,"[ 0.05868725 -0.02543876 -0.02681609 ...  0.01948159 -0.04634879
  0.01627067]"
9852609,برچسب کنسول بازی ایکس باکس series s مدل spider man کد 1 مجموعه 4 عددی,0,0,لوازم جانبی کنسول بازی,None,متفرقه,1350000,چاپ زیبا,False,0,toys and kids,"[ 0.02661555 -0.01675797 -0.01854045 ...  0.00294316 -0.06862348
 -0.00126418]"
3352016,گردنبند نقره زنانه ترمه 1 طرح آنا کد mas 0087,0,0,اکسسوری زنانه,زیورآلات نقره زنانه,ترمه ۱,3057500,لیردا گلد,False,0,clothe,"[ 0.02202916  0.0075297  -0.00613267 ...  0.01601122 -0.05480898
 -0.01375126]"
11834357,گردنبند طلا 18 عیار زنانه لیردا مدل گلوریا,0,0,زیورآلات طلا زنانه,گردنبند طلا زنانه,لیردا,41200000,لیردا گلد,False,0,clothe,"[ 0.01517062  0.01846732 -0.02987848 ... -0.00289168 -0.04767539
 -0.02764503]"
11612599,کرم ضد آفتاب ری بی زا شماره 01 حجم 50 میلی لیتر,0,0,مراقبت پوست,کرم ضد آفتاب,ری بی زا,2420000,السا پخش,False,0,beauty,"[ 0.02625671  0.02072051 -0.02084277 ... -0.0077295  -0.02504832
  0.01085493]"
11170804,آلبوم موسیقی برگزیده ای از سرودهای ویکتور خارا اثر ویکتور خارا,0,0,موسیقی با کلام,None,متفرقه,1000000,استریو تومبا,False,0,book & stationary & art,"[ 0.05617998 -0.002441   -0.03130338 ...  0.00712265 -0.03237803
 -0.00317578]"
11339252,محافظ صفحه نمایش شیشه ای سوپرسی مدل SH-SC مناسب برای ساعت هوشمند سامسونگ Galaxy Watch 5 40mm بسته سه عددی,0,0,لوازم جانبی ساعت و مچ بند هوشمند,None,متفرقه,1432500,اکسسوریسیتی,False,0,clothe,"[ 0.02469208 -0.00691359 -0.05034428 ...  0.02591179 -0.00875081
  0.00662619]"
11271416,تاپ زنانه 27 کد MH1303,0,0,لباس زنانه,تاپ و نیم تنه زنانه,متفرقه,1089000,آکو هنر,True,0,clothe,"[ 0.03305136  0.00498169 -0.04611148 ... -0.00658448 -0.04572424
  0.00386457]"
969477,رنگ مو اسکالیم شماره 4.42 حجم 100 میلی لیتر رنگ قهوه ای فندقی متوسط,78,38,آرایش مو,رنگ مو,اسکالیم,970000,ایفوریا گالری,False,0,beauty,"[ 0.04294492 -0.01923659  0.00043442 ... -0.01472399 -0.04081383
  0.04230515]"
11362776,کاندوم اورز مدل داتد خاردار مجموعه 12 عددی,80,5,بهداشت جنسی,کاندوم,اورز,3500000,رایان بیوتی,False,0,beauty,"[ 0.03659709  0.00874249 -0.03477202 ...  0.01721195 -0.041046
 -0.00174943]"
4538347,انگشتر ترمه ۱ مدل رامین RB152,0,0,اکسسوری زنانه و مردانه,زیورآلات زنانه و مردانه,ترمه ۱,600000,گالری آسکه,False,0,clothe,"[ 0.02744883  0.02901004 -0.02337923 ... -0.00699917 -0.03055396
  0.00038537]"
7911781,سازه رباتیک مدل نبشی 9 سوراخ بسته 10 عددی,0,0,اسباب بازی,فکری و آموزشی,متفرقه,1529900,مشهد کیت,False,0,toys and kids,"[ 0.00715558 -0.01232066 -0.02643236 ...  0.00435645 -0.05552231
  0.01635765]"
10786690,کتاب Neutra اثر  Barbara Lamprecht  انتشارات  تاشن,0,0,کتاب چاپی غیر فارسی,None,تاشن,11850000,ارزین کالارسان,False,0,book & stationary & art,"[ 0.02159091 -0.01498047 -0.03791282 ... -0.00592179 -0.05600786
 -0.00734391]"
9517322,شورت مردانه مدل ملانژ راه راه پلاتین کد 1047,60,1,لباس مردانه,لباس زیر مردانه,متفرقه,528000,نیک پوش غرب,False,0,clothe,"[ 0.00458103 -0.01649985 -0.01506973 ... -0.00571354 -0.02386507
  0.0189669 ]"
9979590,پلیور زنانه اچ اند ام مدل 0425791003,0,0,لباس زنانه,ژاکت و پلیور زنانه,اچ اند ام,8500000,شیکامزون,False,0,clothe,"[ 0.01273754  0.0015716  -0.03687475 ... -0.00349884 -0.08744568
  0.00446543]"
288457,چسب زخم پیشرفته کیتوتک مدل Advanced,78,215,چسب و پد درمانی,None,کیتوتک,750000,تک کمک,False,0,beauty,"[ 0.02718761 -0.0023886  -0.0149519  ... -0.01157925 -0.04345524
 -0.01601115]"
12487703,جاکلیدی خندالو مدل کریسمس Christmas کد 1346B مجموعه 6 عددی,0,0,اکسسوری زنانه و مردانه,زیورآلات زنانه و مردانه,خندالو,1000000,خندالو,False,0,clothe,"[ 0.01821179  0.00699877 -0.00944164 ...  0.0054846  -0.05546482
  0.00401602]"
9043882,قاشق چنگال نوبی  مدل Id5256.2 مجموعه 2 عددی,80,3,قاشق، چنگال و ظروف کودک و نوزاد,None,نوبی,2730000,بازرگانی ملورین,False,0,toys and kids,"[ 0.03804372  0.00831934 -0.01951008 ... -0.00352745 -0.03103248
 -0.00397565]"
6468719,كتاب فرهنگ ماشين آلات كشاورزي اثر غلامرضا جانبي فام انتشارات صفار,84,5,کتاب زندگینامه و دایره المعارف,None,انتشارات صفار,102000,انتشارات صفار,False,0,book & stationary & art,"[-0.00552496 -0.00460498 -0.02089932 ...  0.00824013 -0.04298856
  0.01816778]"
2573853,کبریت طرح سیمپسون کد 1047,0,0,لوازم کمپینگ,تجهیزات کمپینگ,متفرقه,199000,استودیو هنری ژانو,False,0,travel,"[ 0.0278116  -0.00475719 -0.02605419 ... -0.02900847 -0.03361682
 -0.00726642]"
10094931,جوراب دخترانه ویونا مدل V2 بسته دو عددی,0,0,دخترانه,لباس دخترانه,متفرقه,650000,جامه یاب,False,0,clothe,"[ 0.01309568 -0.00038341 -0.03679745 ...  0.0197395  -0.06134301
 -0.01450715]"
12534153,ست تی شرت و شلوار دخترانه مدل تک شاخ و آبنبات,0,0,دخترانه,لباس دخترانه,متفرقه,3120000,گلبرگ کیدز,False,0,clothe,"[ 0.02196643 -0.01229847 -0.01410689 ...  0.02130328 -0.06275011
  0.0074463 ]"
8318573,گردنبند مدل جاستین بیبر کد G-550,0,0,اکسسوری زنانه و مردانه,زیورآلات زنانه و مردانه,متفرقه,450000,چاپتینو,False,0,clothe,"[ 0.0174684  -0.02259865 -0.02747871 ...  0.01826229 -0.05838174
 -0.01751101]"
7817787,کتاب داستانهای آلکساندر پوشکین اثر آلکساندر سرگی یویچ پوشکین انتشارات توس,0,0,کتاب شعر و ادبیات,None,انتشارات توس,2745200,کتابکالا,False,0,book & stationary & art,"[ 0.01495647 -0.00715748 -0.01546096 ...  0.01370433 -0.0525343
 -0.00492735]"
7271261,کاور رینیکا مدل SHINE مناسب برای ساعت هوشمند هوآوی Watch Fit,80,68,لوازم جانبی ساعت و مچ بند هوشمند,None,رینیکا,980000,فردا کالا,False,0,clothe,"[ 0.0401178  -0.00121641 -0.03569908 ...  0.00036075 -0.04780388
 -0.01287761]"
9104523,لاک ناخن اپرا شماره 80,0,0,بهداشت و زیبایی ناخن,لاک ناخن,متفرقه,629000,بدلیجات گلبانو,False,0,beauty,"[ 0.02171376 -0.0007831  -0.03025767 ... -0.00538138 -0.02449511
  0.00396663]"
8126977,عینک آفتابی مدل تی پوینت,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,2500000,اوپال اوپتیک,False,0,clothe,"[ 0.03585986  0.0023728  -0.03829422 ... -0.01480951 -0.0448794
 -0.01020544]"
12195870,دفتر مشق 100 برگ سم طرح اسکیت برد,0,0,دفتر و کاغذ و مقوا,دفتر,سم,755000,باکسیکو,False,0,book & stationary & art,"[ 0.01336145 -0.02586078 -0.02509036 ... -0.01645291 -0.03667163
  0.02810141]"
3682638,جاکارتی مردانه مدل بهزاد 223315,0,0,اکسسوری مردانه,کیف پول مردانه,متفرقه,1490000,میم کاور,False,0,clothe,"[ 0.00557948  0.00841809 -0.02757917 ... -0.00585008 -0.04775548
 -0.01452238]"
1488794,کتاب نامه به کودکی که هرگز زاده نشد اثر اوریانا فالاچی نشر چلچله,82,23,کتاب شعر و ادبیات,None,انتشارات چلچله,350000,چهرازی استور,False,0,book & stationary & art,"[ 0.01307224 -0.01403658 -0.04484851 ...  0.00912761 -0.03780962
 -0.01340493]"
7901926,رژ گونه باربین شماره N4,90,4,آرایش صورت,رژ گونه,متفرقه,300000,آرمیس بیوتی,False,0,beauty,"[ 0.03156775 -0.00151329 -0.0258267  ... -0.00987846 -0.0081359
  0.00742386]"
10907366,فیگور مدل ثور,0,0,اسباب بازی,جغجغه، عروسک و مدل,متفرقه,1990000,چپ دست,False,0,toys and kids,"[ 0.05150238 -0.02007461 -0.02737272 ... -0.00995535 -0.04518777
 -0.00788567]"
4412936,کتاب سیر تحول و تکامل ژورنالیسم اثر علی اکبر عبدالرشیدی انتشارات سیمای شرق,60,1,کتاب علوم اجتماعی,None,انتشارات  سیمای شرق,900000,مداد آبی,False,0,book & stationary & art,"[-0.01692924 -0.01001827 -0.02791198 ... -0.00894449 -0.07292911
 -0.02963067]"
11606659,ساعت مچی عقربه‌ای مردانه لوندویل مدل LW830035M,0,0,اکسسوری مردانه,ساعت مردانه,لوندویل,78000000,ساعت پندار,False,0,clothe,"[ 0.00345257  0.01112944 -0.0151126  ...  0.00127373 -0.02071708
  0.00097412]"
